,name,business_status,geometry/location/lat,geometry/location/lng,vicinity,place_id
0,Feuerwache I u. Krankentransp.,OPERATIONAL,49.2369213,7.0079913,"Hessenweg 7, Saarbrücken",ChIJZ9iI1KG2lUcRWbkIoVAF40k
1,Freiwillige Feuerwehr Saarbrücken - Löschbezirk 13 St. Johann,OPERATIONAL,49.2396675,7.005246700000001,"Fichtestraße 36, Saarbrücken",ChIJMdgB16O2lUcRUWc3T7z26Ho
2,Feuerwehr St. Arnual,OPERATIONAL,49.2185808,7.0170995,"Arnulfstraße 15, Saarbrücken",ChIJgXpJsjC0lUcRZO26p7zUV6E
3,"Freiwillige Feuerwehr Saarbrücken, Löschbezirk 22 Brebach",OPERATIONAL,49.2172118,7.0297864,"Saarbrücker Str. 20, Saarbrücken",ChIJh48BXcu1lUcRbSOeYvAHCIM
4,Freiwillige Feuerwehr Alt-Saarbrücken - Löschbezirk 11,OPERATIONAL,49.23382429999999,6.9747886,"Heuduckstraße 78, Saarbrücken",ChIJ8exizP2zlUcRb_4cgy42T4k
5,Freiw. Feuerwehr Sbr.-Schafbrücke Gerätehaus,OPERATIONAL,49.2304273,7.0506971,"Hirschbergstraße 12, Saarbrücken",ChIJUd8LSt-1lUcR7sZ9OmzpVgQ
6,Freiwillige Feuerwehr Scheidt,OPERATIONAL,49.2489303,7.053508799999999,"Schulstraße 10, Saarbrücken",ChIJTWF7Ig63lUcRx5AaN9pfLAA
7,Feuerwehr Güdingen,OPERATIONAL,49.2000821,7.027868499999999,"Saargemünder Str. 132A, Saarbrücken",ChIJfe0Bra21lUcRoXgkCBYEq0E
8,Freiwillige Feuerwehr Malstatt-Burbach,OPERATIONAL,49.23906419999999,6.9569462,"Heinrich-Barth-Straße 22, Saarbrücken",ChIJX6WJQ2CxlUcR6ExoE6df1oU
9,Feuerwehrgerätehaus Jägersfreude,OPERATIONAL,49.2691232,7.007096,"Mozartstraße 14, Saarbrücken",ChIJc9aTPSa3lUcRu01gbRaBFxA
10,Berufsfeuerwehr Saarbrücken Wache 2,OPERATIONAL,49.2449119,6.956771,"Weißenburger Str. 17, Saarbrücken",ChIJJSxE_WaxlUcRjr_hJkJ1kXQ
11,Freiwillige Feuerwehr Bischmisheim,OPERATIONAL,49.22058639999999,7.0656365,"Schulstraße 4, Saarbrücken",ChIJzT-1WOW1lUcReLq5Po6tLOE
12,Freiwillige Feuerwehr Herrensohr,OPERATIONAL,49.2746724,7.016553,"Petrusstraße 18, Saarbrücken",ChIJpxpdCSC3lUcRPtv0wlQQwLY
13,Feuerwehr Fechingen,OPERATIONAL,49.2000521,7.064413099999999,"Provinzialstraße 55, Saarbrücken",ChIJL4-QfoW1lUcRictQRnbQyzs
14,Feuerwehr Gersweiler,OPERATIONAL,49.23206829999999,6.9206211,"Dachsweg 7, Saarbrücken",ChIJv70Idi-ylUcR15NKYr-xx9o
15,Feuerwehr Altenkessel,OPERATIONAL,49.2617712,6.915440900000001,"Gerhardstraße 7, Saarbrücken",ChIJO5wRq_OxlUcR5Kf5uCEA6ag
16,Feuerwehr Ensheim,OPERATIONAL,49.2073859,7.109381399999999,"Backfeldstraße 1, Saarbrücken",ChIJm7oBWTnLlUcRdnRMXc3egeM
17,Freiwillige Feuerwehr St. Ingbert,OPERATIONAL,49.2784432,7.1103006,"Kohlenstraße 73, St. Ingbert",ChIJ56lwfDrIlUcROmn3FSCPEIw
18,Freiwillige Feuerwehr St. Ingbert - Hassel,OPERATIONAL,49.2654298,7.162065499999999,"Rohrbacher Str. 2b, St. Ingbert",ChIJI9SeKR7JlUcR5gW4y5odiVM
19,Freiwillige Feuerwehr Bübingen LB24,OPERATIONAL,49.1847922,7.0406816,"Moselstraße 14, Saarbrücken",ChIJHSmqOAy1lUcRtH1NS1OHDhw
20,Feuerwehr Saarbrücken Dudweiler,OPERATIONAL,49.2818583,7.0384581,"Fischbachstraße 1, Saarbrücken",ChIJyYuYcwa3lUcR5NJqgRk5Gvs
21,Feuerwehr Quierschied; Löschbezirk Fischbach,OPERATIONAL,49.30744869999999,7.0295831,"Quierschieder Str. 80, Quierschied",ChIJr8fZ5Ga3lUcR5fJqlMuZ7pI
22,Freiwillige Feuerwehr Klarenthal,OPERATIONAL,49.22924159999999,6.8985151,Saarbrücken,ChIJyTXyCzCzlUcRSgn3gBqysSU
23,Feuerwehr Rentrisch,OPERATIONAL,49.2644223,7.0878815,"Heinestraße 9, St. Ingbert",ChIJhwH7ZCm2lUcRp5SNQZMAabQ
24,Löschbezirk Püttlingen Gerätehaus,OPERATIONAL,49.2847332,6.889850099999999,"Bengeser Str. 29, Püttlingen",ChIJHZUsYtSvlUcRPJqRuIWh6nA
25,Feuerwehr Völklingen Löschbezirk Stadtmitte,OPERATIONAL,49.2530933,6.857665,"Fontanestraße 15, Völklingen",ChIJl4BQC3KulUcRemSPRJdEIZE
26,Freiwillige Feuerwehr Sulzbach LB3,OPERATIONAL,49.3125566,7.0768856,"Eisenbahnschachtanlage 14, Sulzbach/Saar",ChIJaZRAGSC4lUcRnpqWgyXkyLI
27,Freiwillige Feuerwehr Neuweiler,OPERATIONAL,49.2837431,7.066275,"Hochstraße 100, Sulzbach/Saar",ChIJwZV6gbi3lUcRqMbMm3ATUi4
28,Freiwillige Feuerwehr Heckendalheim,OPERATIONAL,49.2295506,7.1382353,Mandelbachtal,ChIJ1WGMK3nJlUcRtTQpGl7r1xY
29,Feuerwehr Mandelbachtal Lbz. Ormesheim,OPERATIONAL,49.1986078,7.144061,"Theo-Carlen-Platz,, Mandelbachtal",ChIJkX-PyrzLlUcRd1uAC6NUOck
30,FF Kleinblittersdorf - LB Kleinblittersdorf,OPERATIONAL,49.1564023,7.0381638,"Oberdorfstraße 41, Kleinblittersdorf",ChIJg4DbDeC1lUcRQQ9Ao-_zCUc
31,Freiwillige Feuerwehr,OPERATIONAL,49.32758219999999,7.0495303,"Schumannstraße, Quierschied",ChIJqdPFGs65lUcRy-D0OO9uLjg
32,"Feuerwehr Friedrichsthal, Löschbezirk Friedrichsthal",OPERATIONAL,49.3253711,7.0982755,"Grubenstraße 2, Friedrichsthal",ChIJ12w0pg64lUcRjXAd3DEjp4g
33,Feuerwehr Bildstock,OPERATIONAL,49.3310174,7.088318,"Grühlingstraße 9B, Friedrichsthal",ChIJW26uVRO4lUcROfRGWfhd-qw
34,Freiwillige Feuerwehr Elversberg,OPERATIONAL,49.3189952,7.129055399999999,"Hüttenstraße 12, Spiesen-Elversberg",ChIJmxozbd3HlUcRI5FaqdWS-Vo
35,"Verbundatemschutzwerkstatt der Feuerwehren Illingen, Merchweiler und Schiffweiler",OPERATIONAL,49.3576795,7.096187599999999,"Welzower Platz 1, Schiffweiler",ChIJPXMOWZK5lUcRCyWrZ18y1gA
36,Feuerwehr Gerätehaus,OPERATIONAL,49.1873987,6.8146926,"Bertholdstraße 2, Großrosseln",ChIJsVGU1-aslUcRupcXqnaYA0Y
37,Alte Feuerwehr Emmersweiler,OPERATIONAL,49.1812801,6.8546495,"In den Kreuzlängten 2, Großrosseln",ChIJPaeBdk6tlUcRzmja-OwqIa0
38,"Feuerwehr Großrosseln, LB Süd",OPERATIONAL,49.1709929,6.8425652,"Am Hirschelheck 21, Großrosseln",ChIJ8U8y1jetlUcRakgUEWQ-vZg
39,Sapeurs Pompiers de Stiring-Wendel,OPERATIONAL,49.2018504,6.9239587,"3 Rue du Ctre, Stiring-Wendel",ChIJQ1H_0FSylUcRMjaBRIibxo0
40,Feuerwehr Völklingen Löschbezirk Luisenthal,OPERATIONAL,49.2491488,6.9008717,"Jahnstraße, Völklingen",ChIJ5TCrRPCxlUcRnz8YEgokCmI
41,Sapeurs-Pompiers de Petite-Roselle,OPERATIONAL,49.2125631,6.8632054,"Rue Roger Cadel, Petite-Rosselle",ChIJ_Q8sIZCtlUcRx3AkJo2U8BA
42,Freiwillige GanzTagsSchule,OPERATIONAL,49.2530221,6.860089899999999,"Hohenzollernstraße 11, Völklingen",ChIJn7CknHKulUcR7DanYyoYszA
43,Förderverein der Freiwilligen Feuerwehr Stadt Püttlingen Löschbezirk Köllerbach e.V.,OPERATIONAL,49.3039435,6.8952635,"Friedhofstraße 4, Püttlingen",ChIJmwD76OCvlUcRDQE3IIUVhVE
44,Werkfeuerwehr Saarstahl,OPERATIONAL,49.2534426,6.849493,Völklingen,ChIJ7zd98aivlUcRaRdZuDXZm9g
45,Löschbezirk Herchenbach Gerätehaus,OPERATIONAL,49.3170842,6.900045899999999,"Kyllbergstraße 151a, Püttlingen",ChIJO0HaKfyvlUcRAEofgpua9qY
46,Feuerwehr Völklingen Löschbezirk Geislautern,OPERATIONAL,49.2371643,6.836941899999999,"Im Kirchenfeld 5, Völklingen",ChIJ7e4Tn9KtlUcR443BMy3PkcM
47,Feuerwehr Völklingen Löschbezirk Wehrden,OPERATIONAL,49.24895189999999,6.835933799999999,"Hostenbacher Str. 30, Völklingen",ChIJTyR8poCulUcRRaLt3Z8TmE0
48,Jugendfeuerwehr Lbz-Süd,OPERATIONAL,49.1710799,6.8427067,"Am Hirschelheck 19, Großrosseln",ChIJg85ZHaytlUcRQnIDo9NCGCo
49,Feuerwehr Völklingen Löschbezirk Ludweiler,OPERATIONAL,49.21837009999999,6.807472799999999,"Schulstraße 8A, Völklingen",ChIJgdwGuUOslUcRJWMtDLWoNEg
50,Feuerwehr Heusweiler - LB Holz (LB 6),OPERATIONAL,49.3307508,6.986127199999999,"Holzer Pl., Heusweiler",ChIJU3lhuBO6lUcRmq-l6gC_2MU
51,Freiwillige Feuerwehr,OPERATIONAL,49.3314096,6.985864200000001,"Holzer Pl. 2A, Heusweiler",ChIJl74cvxO6lUcRYMHNbSOVYJE
52,Feuerwehr Heusweiler - LB Wahlschied (LB 12),OPERATIONAL,49.34265,6.99869,"Im Dorf 13, Heusweiler",ChIJd5A_liS6lUcRD1-CX_ZvlSA
53,Feuerwehr Heusweiler - LB Berschweiler (LB 3),OPERATIONAL,49.3397775,6.961238199999999,"Berschweiler Str. 39, Heusweiler",ChIJyZ09z1-6lUcRM3ASOo-N3F8
54,Feuerwehr Heusweiler - LB Ost (LB 7),OPERATIONAL,49.3507797,6.9796828,"Barbarastraße 38a, Heusweiler",ChIJ8VO1-oe7lUcRDI7njcg-0sg
55,Feuerwehr Heusweiler - LB Lummerschied (LB 8),OPERATIONAL,49.3535431,6.9989781,"Wiesbacher Str. 7, Heusweiler",ChIJ15lybjK6lUcRXU5aeWhFegk
56,Feuerwehr Heusweiler - LB Mitte (LB1),OPERATIONAL,49.35202200000001,6.9316559,"Trierer Str. 175, Heusweiler",ChIJj__6nWK7lUcReychnAZiGsM
57,Feuerwehr Heusweiler - LB Obersalbach-Kurhof (LB 11),OPERATIONAL,49.3447865,6.893620599999999,"Zum Weiherwald, Heusweiler",ChIJj7Rj5TillUcRqKRZk9I-J4I
58,"Feuerwehr Illingen, Lbz. Wustweiler",OPERATIONAL,49.3966305,7.039108,"Am Seelbach 1, Illingen",ChIJD9A_h62-lUcRzaZ01Z8Vr6M
59,Feuerwehr Auersmacher,OPERATIONAL,49.1376833,7.058384,"Sitterswalder Str., Kleinblittersdorf",ChIJIVrch6dKlEcRGjdLlxhjD3g
60,Freiwillige Feuerwehr Kleinblittersdorf LB Mitte,OPERATIONAL,49.13765919999999,7.058597,"Sitterswalder Str. 71, Kleinblittersdorf",ChIJw8SlB101lEcRpTexSUfzTts
61,Freiwillige Feuerwehr Bliesmengen-Bolchen,OPERATIONAL,49.15062750000001,7.1138497,"Bliestalstraße 47, Mandelbachtal",ChIJlw4fTyrLlUcRGZmbCkc5lP4
62,Freiwillige Feuerwehr Kleinblittersdorf Löschbezirk 4 Rilchingen-Hanweiler,OPERATIONAL,49.1166321,7.050546199999999,"Am Sportpl. 1, Kleinblittersdorf",ChIJE7fyaH01lEcRN518HFJkVu4
63,Sapeurs-Pompiers de Sarreguemines,OPERATIONAL,49.11306630000001,7.080684900000001,"29 Rue des Tirailleurs, Sarreguemines",ChIJWzOhjgs1lEcRdx0T8FrX4uA
64,FF Kleinblittersdorf LB Bliesransbach,OPERATIONAL,49.1657488,7.090291799999999,"Eschringer Str. 18, Kleinblittersdorf",ChIJbWv0feDLlUcRcu6ipT8V9hA
65,Gerätehaus Löschbezirk Köllerbach,OPERATIONAL,49.3058546,6.9039158,"Sellerbacher Str. 7, Püttlingen",ChIJV7DA66B9C0ERTP-ZZ3OdfVc
66,Freiwillige Feuerwehr Riegelsberg Löschbezirk Walpershofen,OPERATIONAL,49.3229842,6.9155487,"Herchenbacher Str. 35, Riegelsberg",ChIJK_uWXKi6lUcRS-b4pQq7CTM
67,Freiwillige Feuerwehr,OPERATIONAL,49.3001347,7.0661651,"Im Hessenland 2A, Sulzbach/Saar",ChIJxdonaY-3lUcRBOxUooJdYHg
68,Freiwillige Feuerwehr Riegelsberg,OPERATIONAL,49.308707,6.938251999999999,"Alleestraße 2, Riegelsberg",ChIJ8fhA9G-wlUcRV6DcWRymYxo
69,Feuerwehr Merchweiler Gerätehaus,OPERATIONAL,49.3603734,7.059474199999999,"Hauptstraße 82, Merchweiler",ChIJPQD8lwO5lUcR_E-nRtlYCaI
70,bos-store,OPERATIONAL,49.3747722,7.0229783,"Herzstraße 31, Illingen",ChIJSX4OuGC5lUcRmOwc_yUeZ2M
71,Spielmannszug Sulzbach,OPERATIONAL,49.3000068,7.0658458,"Im Hessenland 2, Sulzbach/Saar",ChIJC8HrpJG3lUcRPVKs-pEQuZw
72,Feuerwehr Völklingen Löschbezirk Lauterbach,OPERATIONAL,49.1831554,6.745009899999999,"Köhlerstraße 8, Völklingen",ChIJw4Z9ujirlUcRE0yS8INpfu4
73,Feuerwehr Völklingen Löschbezirk Fürstenhausen,OPERATIONAL,49.2412123,6.864198,"Gutenbergstraße 12, Völklingen",ChIJXXwfguGtlUcRsj3hGUAZmLI
74,"Freiwillige Feuerwehr Beckingen, Löschbezirk Düppenweiler",OPERATIONAL,49.4151099,6.7633272,Beckingen,ChIJuy2sRtKglUcRxRXMnz6nwyI
75,"Feuerwehr, Löschbezirk Beckingen",OPERATIONAL,49.3865896,6.7074649,"In den Rübenstückern 6, Beckingen",ChIJOev20toJlUcRChHkJ8RyQ74
76,"Freiwillige Feuerwehr Beckingen, Löschbezirk Beckingen",OPERATIONAL,49.3922415,6.701667,"Bergstraße 4, Beckingen",ChIJF4u5f8MJlUcRzRwzPAYhWuM
77,"Freiwillige Feuerwehr Beckingen, Löschbezirk Haustadt",OPERATIONAL,49.4122454,6.7203269,"Haustadter-Tal-Straße 143, Beckingen",ChIJLzqTf38JlUcRCFui7bcXsYo
78,"Freiwillige Feuerwehr Beckingen, Löschbezirk Oppen",OPERATIONAL,49.4532283,6.781508499999999,"St.-Florian-Straße 16, Beckingen",ChIJNeM3YVSglUcRoj96kHb3BMs
79,"Freiwillige Feuerwehr Beckingen, Löschbezirk Honzrath",OPERATIONAL,49.42918,6.7296743,"Merchinger Str. 7, Beckingen",ChIJu3CrW6ALlUcRuH2iceFA4VQ
80,"Freiwillige Feuerwehr Beckingen, Löschbezirk Reimsbach",OPERATIONAL,49.4496546,6.7636837,"Auf Köpfchen 2, Beckingen",ChIJD-4f_VeglUcRnrXHwKJgn40
81,"Freiwillige Feuerwehr Beckingen, Löschbezirk Saarfels",OPERATIONAL,49.393688,6.67516,"Fliederstraße 29, Beckingen",ChIJ6e7o7goJlUcRLneNIU3y_XI
82,"Freiwillige Feuerwehr Beckingen, Löschbezirk Erbringen",OPERATIONAL,49.4412931,6.7395399,"Im Dompen 6, Beckingen",ChIJMeSLfpuglUcRwAB_LgwUlas
83,"Freiwillige Feuerwehr Beckingen, Löschbezirk Hargarten",OPERATIONAL,49.4529799,6.736469,"Am Hügel 15, Beckingen",ChIJbxiUNVuhlUcRQcR6AuvLwjY
84,Feuerwehr Bergen,OPERATIONAL,49.5359346,6.6941361,"66679, Losheim am See",ChIJUf1my_l0lUcR3s4v8uvP9JY
85,Freiwillige Feuerwehr Wahlen,OPERATIONAL,49.48813939999999,6.778418299999999,"Wahlener Str. 57, Losheim am See",ChIJU3jkKAChlUcR2kkqZnbOiyA
86,Freiwillige Feuerwehr Rimlingen,OPERATIONAL,49.4740569,6.7171391,"Rimlinger Str. 34, Losheim am See",ChIJA9fRpfkLlUcRgRhOeY6eC6E
87,Freiwillige Feuerwehr Niederlosheim,OPERATIONAL,49.50205,6.77718,"Marienstraße 13, Losheim am See",ChIJm4anEo6flUcRBGQ5FmIVyGw
88,Gemeinde Weiskirchen Löschbezirk Weierweiler,OPERATIONAL,49.52795769999999,6.8180025,"Zum Ehrenmal 2, Weiskirchen",ChIJuy5kwhyflUcRedGDUS2W_Mc
89,Freiwillige Feuerwehr Losheim,OPERATIONAL,49.5053405,6.743678,"Merziger Str. 3, Losheim am See",ChIJcUS07lh1lUcRqHoPoa8zjn4
90,Freiwillige Feuerwehr Britten,OPERATIONAL,49.5199923,6.6707271,"Kiefernweg 10, Losheim am See",ChIJoaFI3L90lUcRWFuaxRkI80g
91,Feuerwehr Scheiden,OPERATIONAL,49.5471625,6.7294604,"Schau ins Land 1, Losheim am See",ChIJPZzhCSF1lUcRZJWxmbP7CF8
92,Freiwillige Feuerwehr Rappweiler,OPERATIONAL,49.5422702,6.7930727,"Hochwaldstraße 23, Weiskirchen",ChIJKbB4wU-elUcRprctzCLq6BA
93,Waldhölzbach,OPERATIONAL,49.5518272,6.7612565,"Kurstraße 1, Losheim am See",ChIJMx4V7CCelUcRNq4dKDJRiWc
94,Feuerwache,OPERATIONAL,49.3703777,6.763063,"Wiesenstraße, Dillingen/Saar",ChIJy9Xq7qqnlUcRIruYeAzoM5I
95,Feuerwehr Wallerfangen Löschzug St.Barbara,OPERATIONAL,49.3321359,6.6820447,"Schloßbergstraße 97, Wallerfangen",ChIJRbPapRIHlUcR4IRuHB52WwY
96,Freiwillige Feuerwehr Fitten,OPERATIONAL,49.4437367,6.598188299999999,"Wendelinusstraße 39, Merzig",ChIJdbWcOkgMlUcRMXXowC6CcO0
97,Fire Station 2 Ramstein AB,OPERATIONAL,49.4518783,7.586639600000001,"Flugplatz Ramstein Geb 1124, Ramstein-Miesenbach",ChIJFbdUsVgLlkcRMJPpa_rGeb4
98,Feuerwehr Merzig,OPERATIONAL,49.4413502,6.6387098,"Am Gaswerk 5a, Merzig",ChIJC2GmVo4LlUcRAXCFIB40R1c
99,Freiwillige Feuerwehr Brotdorf,OPERATIONAL,49.47108679999999,6.6765078,"Heisterweg, Merzig",ChIJ0_b3hRALlUcRifNzFr8OQEg
100,Feuerwehr Schwemlingen-Weiler,OPERATIONAL,49.4682431,6.5910055,"Luxemburger Str. 76, Merzig",ChIJvRjF2P0MlUcRanGlX364gYM
101,Freiwillige Feuerwehr Lbz. Büdingen,OPERATIONAL,49.444563,6.5520541,"Zum Saargau 998, Merzig",ChIJgR8GW90NlUcRIxga1gGy6GE
102,Freiwillige Feuerwehr Menningen,OPERATIONAL,49.40648100000001,6.665430499999999,Merzig,ChIJQf8tkXAJlUcRiK14DXFazVw
103,Freiwillige Feuerwehr Silwingen,OPERATIONAL,49.423543,6.5689518,"Mondorfer Str., Merzig",ChIJ-eoLVn8OlUcRBJTJLKoZhXk
104,Freiwillige Feuerwehr Besseringen,OPERATIONAL,49.4756199,6.6076112,"Pastor-Krayer-Straße 998, Merzig",ChIJGcPXyO0MlUcRBjBv7h-ANvQ
105,Feuerwehr Dillingen/Saar | Löschbezirk Innenstadt,OPERATIONAL,49.35460579999999,6.7234234,"Merziger Str. 60, Dillingen/Saar",ChIJneWaa42nlUcR2D-SBFGNF-U
106,Freiwillige Feuerwehr Wallerfangen Lbz. Mitte,OPERATIONAL,49.31658849999999,6.650662199999999,"Jakobusstraße 53, Wallerfangen",ChIJ23bkdzUGlUcR_9QL4hbh1gY
107,Feuerwehr Leidingen,OPERATIONAL,49.308032,6.6094075,"Ihner Str. 19B, Wallerfangen",ChIJQ3x6uYEHlUcRtsAXlM2zxwM
108,Feuerwehrgerätehäuser Eimersdorf,OPERATIONAL,49.38279,6.65328,"Im Steinrisser 2, Rehlingen-Siersburg",ChIJ8fargRsJlUcRNuqR3uu5lDw
109,Freiwillige Feuerwehr,OPERATIONAL,49.4045573,6.6502781,"Herrenstraße 6, Rehlingen-Siersburg",ChIJ1XhjwmkJlUcR1vhLGjgJ8QU
110,Freiwillige Feuerwehr Bietzen,OPERATIONAL,49.412552,6.6530406,"Martinusstraße 30B, Merzig",ChIJTdxijUcJlUcRRyFBt_mDAJI
